id,dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
11,10/30/15,0.032,0.043,0.011,1.38,2.55,0.0,0.0,2.0,2.54431915,3.82289886,3.78312469,3.82289886,2.97409439,0.613903999,0.3165012590727567,15.219554722467713,3.5181279255373923
12,7/2/19,0.0,0.0,0.0,2.63,5.97,0.0,0.0,0.0,0.010308041,0.003677979,0.001233704,0.003677979,0.00982169,0.007587299,0.2172673576032165,12.876145146013393,3.1851914172740745
13,1/10/17,0.009,0.008,0.0,0.65,2.36,0.0,0.0,10.0,0.289452046,2.19e-06,0.100738682,2.19e-06,0.007297204,1.43e-05,0.3346168678015132,21.23523530814464,2.505801610568497
14,5/25/16,0.0,0.0,0.0,1.19,2.69,0.0,0.0,0.0,0.000897545,0.008837879,0.014765915,0.008837879,0.397837251,0.005230308,0.2645280706137543,18.05252063934752,2.5135186431666803
15,7/5/20,0.0,0.0,0.0,1.93,4.32,0.0,0.0,0.0,0.0,0.025346875,0.0,0.025346875,0.0,0.095003843,0.1813413391001558,16.72265661060225,3.616432536703447
16,8/9/18,0.006,0.005,0.001,1.33,2.97,0.0,17.0,9.0,0.262895495,0.004040077,0.046690468,0.004040077,0.133512929,2.28e-07,0.4273182427382082,12.744036256979314,3.465702245624981
17,7/9/15,0.0,0.0,0.0,0.95,1.52,0.0,0.0,0.0,0.032037601,3.49e-06,0.027773436,3.49e-06,0.06814076,1.06e-07,0.2607078738378242,16.1396945135856,2.613502992387405
18,7/2/20,0.0,0.0,0.0,2.14,4.41,0.0,0.0,0.0,0.0,0.425291061,0.0,0.425291061,0.005146103,0.383770466,0.3453105389801134,15.419548391632777,2.472415148063791
19,1/11/17,0.0,0.0,0.0,0.71,2.38,0.0,0.0,0.0,0.0,2.97e-06,0.0,2.97e-06,0.0,7.28e-05,0.2349995611955447,20.114843678467658,3.375186142465135
20,6/18/17,0.001,0.003,0.0,1.24,2.24,1.0,0.0,0.0,0.0,0.000226626,0.0,0.000226626,0.173241228,1.5e-06,0.3432197610954239,19.76882491324537,3.7339552374060734
21,1/10/19,0.004,0.006,0.006,3.56,7.045,5.0,19.0,4.0,1.1921885,0.012284517,1.02178955,0.012284517,0.589692116,0.000507524,0.1668666752806403,18.395841302691245,3.6402323009249433
22,5/13/18,0.0,0.0,0.0,1.23,2.29,0.0,0.0,0.0,0.0,0.003062747,0.007546276,0.003062747,0.000266651,0.003392156,0.2419338483253855,16.292245805952426,2.566569056893092
23,11/24/17,0.003,0.003,0.003,1.11,1.93,10.0,0.0,4.0,1.82930434,3.37e-08,1.42649972,3.37e-08,11.3927126,2.29e-06,0.1764560910915502,16.92622724007715,3.399427583984718
24,11/6/16,0.0,0.0,0.0,1.38,2.91,0.0,0.0,0.0,0.0,0.008418784,0.0,0.008418784,0.0,0.041131675,0.2206094045581743,12.723501093129112,2.3290847979859937
25,9/4/17,0.016,0.022,0.016,1.75,5.64,22.0,60.0,56.0,45.8028603,0.008599833,35.6094284,0.008599833,29.9313736,0.05761385,0.2745614698327273,9.802700351661173,3.325392221224737
26,2/19/18,0.0,0.001,0.007,1.045,1.16,0.0,0.0,0.0,24.2651558,0.000182621,21.771122,0.000182621,14.651968,0.000198808,0.3426641319584517,18.17961634462484,3.943689518359716
27,12/30/19,0.01,0.006,0.025,1.1175,1.44,0.0,0.0,0.0,21.5900269,2.35e-24,13.1066284,2.35e-24,8.59505749,0.0,0.253678457316807,13.93756140138871,3.341098950284004
28,4/9/16,0.014,0.023,0.001,1.2,3.37,2.0,1.0,2.0,1.85662842,0.072365999,3.71390748,0.072365999,13.4572868,0.110989809,0.3249674173898041,9.768992377771498,3.374556892943353
29,4/2/16,0.014,0.004,0.064,0.92,1.55,17.0,41.0,36.0,74.6736526,12.7441406,53.6699028,12.7441406,30.8160362,26.9371033,0.2461599203587054,8.476997736803984,3.614330953539372
30,12/11/19,0.0,0.0,0.0,1.13,1.55,0.0,0.0,0.0,0.002551775,0.002747588,0.0,0.002747588,0.050170623,0.005568936,0.3259017285292633,18.25145673072519,3.358045858383014
31,6/1/20,0.0,0.0,0.0,1.29,2.31,0.0,0.0,0.0,0.0,0.003595836,0.0,0.003595836,0.0,0.001802947,0.256008105964307,18.7333464876435,2.363044748278962
32,5/20/16,0.0,0.0,0.0,1.31,3.49,0.0,0.0,0.0,0.394566149,2.39e-07,0.221105456,2.39e-07,0.364429682,2.53e-06,0.3003077668461727,21.26291383601488,3.918715523656833
33,3/25/20,0.0,0.0,0.0,1.1,1.46,0.0,0.0,0.0,0.186350882,4.13e-05,0.02682988,4.13e-05,0.0,0.000132801,0.212963894513359,23.135773295581163,2.617001750512635
34,1/15/16,0.0,0.0,0.0,1.37,2.31,0.0,0.0,0.0,0.0,0.004266389,0.0,0.004266389,0.0,0.004021637,0.2445590890592252,12.570022446532672,2.708657103066253
35,6/10/15,0.004,0.003,0.0,1.09,1.42,2.0,0.0,0.0,0.000460496,0.000314321,0.044382386,0.000314321,2.88499928,0.003523752,0.2229425845562157,18.867691035006118,2.2831623672297274
36,6/6/16,0.0,0.0,0.0,1.41,3.91,0.0,0.0,0.0,0.0,2.3e-08,0.0,2.3e-08,0.0,3.41e-07,0.2444088046646931,17.647324868112758,2.925375359244792
37,3/20/18,0.0,0.0,0.0,1.0,1.44,0.0,0.0,0.0,0.0,0.036236644,0.0,0.036236644,0.0,0.013773143,0.2775889161973333,19.294294182604894,2.293810356933245
38,4/20/19,0.0,0.0,0.0,1.09,1.52,0.0,0.0,0.0,0.020430652,0.007486716,0.0,0.007486716,0.0,0.007396191,0.2419097262679007,15.585762643509732,1.9884878492679192
39,3/3/18,0.003,0.0,0.001,0.99,1.3,0.0,0.0,0.0,0.001509154,4.53e-05,8.63364601,4.53e-05,1.33009636,0.001496589,0.3127926211925166,14.086719465646306,2.8731772015988946
40,6/23/18,0.008,0.012,0.002,2.07,2.49,5.0,22.0,18.0,8.32528496,0.000133796,3.92184877,0.000133796,4.23091888,9.59e-07,0.1571270145792794,24.637089002419813,4.142851296254552
41,9/3/19,0.0,0.0,0.0,2.5,3.61,0.0,0.0,0.0,0.0,1.82e-26,0.0,1.82e-26,0.0,6.15e-06,0.3071266291975185,19.56442325092381,3.965272018718169
42,6/26/18,0.0,0.0,0.0,1.9275,3.57,0.0,0.0,0.0,0.068879068,0.000461424,0.105339274,0.000461424,0.118711144,1.72e-05,0.2897525150586584,9.780846346985944,3.651551076541955
43,9/16/16,0.0,0.0,0.0,2.78,6.93,0.0,0.0,0.0,0.311405689,8.72e-15,0.203031048,8.72e-15,0.402044117,1.04e-10,0.2183054831885725,16.324914849508104,2.5434595909843662
44,11/20/15,0.004,0.005,0.001,1.23,2.02,12.0,22.0,11.0,0.067393385,0.027123839,0.645328999,0.027123839,2.66650391,0.154709816,0.2678507313174795,12.206432468570291,2.865479449078362
45,7/30/15,0.004,0.003,0.009,1.04,1.3,0.0,0.0,0.0,1.46930599,0.137758255,0.751591146,0.137758255,3.24697948,0.091007352,0.278350699727845,11.449248091568972,3.4535848502171014
46,9/9/16,0.0,0.0,0.0,3.1,7.28,0.0,0.0,0.0,0.0,0.000395312,0.0,0.000395312,0.0,1.45e-07,0.2168891628002578,15.474576183742569,2.7644687871551703
47,4/12/20,0.0,0.0,0.0,1.1,1.5,0.0,0.0,0.0,0.042777281,0.002131518,0.174530879,0.002131518,0.511128902,0.034734607,0.2582173992921552,14.315176150278216,2.648653527197506
48,12/25/18,0.0,0.0,0.0,1.44,4.69,0.0,0.0,0.0,0.0,0.00256151,0.0,0.00256151,0.0,0.04272759,0.238343872889313,14.75122723674232,3.799045403757766
49,12/19/16,0.009,0.01,0.0,1.17,1.57,0.0,0.0,2.0,0.261487573,0.0,0.210221112,0.0,0.168187261,8.71e-09,0.2505917208355043,15.072602276773438,3.6682240722584463
50,11/22/17,0.0,0.0,0.0,1.15,2.08,0.0,0.0,0.0,0.0,2.27e-08,0.0,2.27e-08,0.0,8.8e-09,0.2107346884921203,16.512115713809433,2.4817270019559845
51,11/2/17,0.017,0.014,0.012,1.37,3.79,0.0,0.0,0.0,20.0362015,0.002438296,26.2399406,0.002438296,30.8973503,0.005351007,0.2547462011002375,17.655313945539078,2.3534069415914
52,6/29/17,0.015,0.032,0.001,1.2,1.97,0.0,0.0,0.0,1.37890506,3.34e-08,1.97086251,3.34e-08,3.66902375,4.44e-07,0.2169606461565131,18.80522772551,3.230566984981097
53,3/9/18,0.0,0.0,0.0,0.93,1.4,0.0,0.0,0.0,0.0,1.06e-05,0.135107562,1.06e-05,0.0,2.64e-09,0.1794129086541668,16.30951356249335,4.429276905142968
54,10/6/15,0.0,0.0,0.001,2.01,7.01,0.0,0.0,0.0,0.130010068,3.5e-06,0.035197903,3.5e-06,0.015611294,4.67e-06,0.2325538867312221,20.55194361660211,3.049803062760969
55,8/28/18,0.0,0.0,0.0,2.32,4.74,0.0,0.0,0.0,0.0,0.028082728,0.0,0.028082728,0.0,0.015241653,0.2139750747396349,18.868113423113467,3.012596377068536
56,3/3/19,0.0,0.0,0.0,1.26,3.14,0.0,0.0,0.0,0.0,0.006249547,0.0,0.006249547,0.0,0.005067699,0.2505848703936883,20.56717854424341,3.585087758849524
57,8/5/17,0.0,0.0,0.0,2.2,5.34,0.0,0.0,0.0,0.0,3.53e-06,0.0,3.53e-06,0.0,1.06e-06,0.2820576481227128,20.90688881949534,3.1024870230281647
58,3/22/17,0.003,0.001,0.015,1.16,2.15,0.0,0.0,0.0,0.076629631,8.15e-05,0.00711743,8.15e-05,0.0,0.000441098,0.2929927897003846,12.655787665861236,3.287828987701931
59,6/17/20,0.0,0.0,0.0,1.3,2.04,0.0,0.0,0.0,1.5504123,0.328087807,0.878846288,0.328087807,0.579032302,0.333237648,0.2681365207093287,5.9998199313681,3.178978230292443
60,7/24/16,0.0,0.0,0.0,1.22,3.29,0.0,0.0,0.0,0.0,0.010544434,0.0,0.010544434,0.0,0.062629581,0.2979477117448885,15.39445468957867,3.0110179336587075
61,8/22/18,0.0,0.0,0.0,2.14,4.47,0.0,0.0,0.0,0.0,0.007372722,0.0,0.007372722,0.445520222,0.003802031,0.2946174013510976,17.123152596962505,2.5265917699113865
62,1/4/18,0.0,0.0,0.0,1.055,1.63,0.0,0.0,0.0,0.0,0.00032637,0.0,0.00032637,0.0,0.002340227,0.2690162507353798,15.528278510099492,2.8960891672223497
63,2/18/20,0.029,0.038,0.021,1.15,1.58,19.0,29.0,34.0,38.5136032,1.09e-18,39.058651,1.09e-18,42.9200439,0.001507066,0.2467256605419111,17.69931301832931,2.8805968180732093
64,7/6/16,0.014,0.012,0.013,5.4,6.98,18.0,10.0,34.0,7.55252314,0.000842172,6.21289539,0.000842172,4.85303259,0.000572903,0.2562841181980941,25.28324216830641,2.9560317156457625
65,4/14/17,0.0,0.0,0.0,1.14,1.84,0.0,0.0,0.0,0.0,0.063943863,0.0,0.063943863,0.009892896,0.035713613,0.2174079883396583,13.535782814626934,3.003487685283475
66,2/3/17,0.0,0.0,0.0,1.12,2.71,0.0,0.0,0.0,0.0,6.46e-06,0.0,6.46e-06,0.0,8e-05,0.2289909440734911,12.417164844990388,3.317674625105307
67,1/9/19,0.006,0.01,0.005,4.76,7.1525,0.0,0.0,0.0,1.97010183,0.000661751,1.77179325,0.000661751,3.24120498,6.93e-05,0.2036677557490954,19.926546780680336,2.9706209453099524
68,3/18/16,0.015,0.015,0.028,1.0,1.26,0.0,0.0,0.0,29.5465202,0.021383911,33.0612526,0.021383911,35.9051361,0.011161342,0.2836262424696846,11.603704604240493,3.3246381001713656
69,4/6/19,0.0,0.0,0.0,1.11,1.61,0.0,0.0,0.0,0.009489626,0.0,0.00238418,0.0,0.0,9.79e-19,0.3564580300051535,24.80178882743937,3.2828713723244998
70,3/30/18,0.0,0.0,0.0,1.03,1.31,0.0,0.0,0.0,0.0,0.149667263,0.0,0.149667263,0.0,0.163078308,0.3067851379225487,12.669464714810562,2.394344436734663
71,3/21/19,0.0,0.0,0.0,1.15,2.04,0.0,0.0,0.0,0.0,0.013981015,0.0,0.013981015,0.0,0.013347343,0.31934850074191,16.230858451337244,2.534819641638893
72,8/13/17,0.0,0.0,0.0,6.11,6.75,11.0,0.0,0.0,0.22775571,0.01283437,0.248954311,0.01283437,0.429429084,0.01744777,0.2454500841452808,16.81561158725184,4.0015458458314965
73,8/12/18,0.0,0.0,0.0,1.28,2.82,0.0,0.0,0.0,0.0,0.000638282,0.0,0.000638282,0.0,7.9e-07,0.1761780434016822,15.142526584361311,2.417591504999497
74,12/29/19,0.0,0.0,0.001,1.12,1.44,0.0,0.0,0.0,0.133352131,3.93e-25,0.426265419,3.93e-25,0.277131557,0.0,0.2182325744984832,20.259516471793432,4.159757494504566
75,8/14/15,0.031,0.029,0.002,6.11,10.03,4.0,8.0,1.0,39.5505219,0.020203739,37.4388428,0.020203739,30.4456272,0.020351261,0.2865139301452283,13.48202882455812,2.9778714735005205
76,7/30/16,0.0,0.0,0.0,3.11,6.52,0.0,0.0,0.0,0.0,0.000458281,0.0,0.000458281,0.0,6.89e-05,0.2533580781616838,12.779888194552235,2.634459672620285
77,1/24/16,0.0,0.0,0.0,1.6,1.67,0.0,0.0,0.0,0.0,4.65e-05,0.0,4.65e-05,0.0,6.77e-06,0.2784940280215052,22.006587177315986,2.81905495436173
78,6/5/15,0.004,0.036,0.001,1.14,1.48,0.0,0.0,0.0,0.006822988,0.386452675,0.064335302,0.386452675,1.98209369,0.293648243,0.19964177334225,24.4240949497379,2.685328915905934
79,3/10/20,0.0,0.0,0.001,1.09,1.35,25.0,18.0,0.0,0.429630399,3.4e-05,0.774222076,3.4e-05,7.92906904,5.5e-10,0.2598890793501363,16.21605415501205,3.429666226984498
80,11/11/16,0.0,0.0,0.0,1.22,2.15,0.0,0.0,0.0,0.0,5.16e-28,0.0,5.16e-28,0.0,4.04e-06,0.1986051648903079,12.311871135931408,3.1409574628340176
81,6/20/18,0.0,0.0,0.0,2.02,2.89,0.0,0.0,0.0,0.0,0.002453383,0.0,0.002453383,0.0,8.5e-09,0.2371918751356127,15.964626749347374,3.068713351869348
82,11/24/18,0.0,0.0,0.0,1.09,2.15,0.0,4.0,4.0,0.0,1.68e-08,0.001451935,1.68e-08,0.0,1.91e-09,0.168896709263335,20.353511045490563,2.3042513475859105
83,4/30/15,0.001,0.002,0.001,0.51,1.42,1.0,9.0,5.0,0.981732845,4.06e-22,0.984302998,4.06e-22,0.858229339,2.32e-23,0.1522541341043556,14.936685007881191,2.8181071797246235
84,7/22/18,0.002,0.002,0.001,3.6525,6.47,0.0,0.0,0.0,3.46422696,2.37e-06,3.70507193,2.37e-06,5.80183649,4.2e-06,0.2930086436676419,17.371652855357546,2.9856782455312363
85,1/29/16,0.001,0.001,0.001,1.05,1.56,0.0,0.0,0.0,0.046709411,0.010011345,0.200249076,0.010011345,1.14934158,0.000149827,0.3026608710285329,11.71648436051841,2.563825937634604
86,8/27/19,0.0,0.0,0.0,1.55,2.48,3.0,0.0,0.0,0.009052286,3.9399999999999998e-28,0.0,3.9399999999999998e-28,0.018381944,0.0,0.3260543522540943,18.05404840239495,3.3679118979652998
87,12/2/18,0.0,0.0,0.0,1.1,1.76,0.0,0.0,0.0,0.0,4.58e-05,0.0,4.58e-05,0.0,1.91e-16,0.2988972889602408,19.54169600508996,1.418697194967825
88,10/6/16,0.0,0.0,0.0,1.19,1.97,0.0,0.0,0.0,0.025185634,0.099295378,0.367208362,0.099295378,0.04099571,0.018956512,0.3036309767970085,17.151946976091516,3.412659909979316
89,12/2/17,0.0,0.0,0.0,1.1,1.67,0.0,0.0,0.0,0.078193173,7.55e-12,0.037582353,7.55e-12,0.018574808,1.37e-09,0.2315640684146679,20.086111209062786,2.6583613973344056
90,4/30/19,0.0,0.0,0.0,1.11,1.51,0.0,0.0,0.0,0.002242181,0.0,0.0,0.0,0.032557949,0.0,0.2000490051954476,14.243294147271731,2.986643139529748
91,12/13/19,0.0,0.0,0.0,1.12,1.56,0.0,0.0,0.0,0.0,0.006056763,0.0,0.006056763,0.0,0.009002164,0.3236543543743601,12.990968998159332,2.287461032660739
92,12/1/16,0.0,0.0,0.0,1.46,3.84,0.0,0.0,0.0,0.0,2.03e-05,0.0,2.03e-05,0.0,4.94e-06,0.2052871291685193,18.17871242184208,4.18588892435524
93,12/8/15,0.0,0.0,0.0,1.37,1.69,0.0,0.0,0.0,0.0,0.016220659,0.0,0.016220659,0.0,0.011174753,0.244586743952491,15.504323487843536,3.0756566834313546
94,6/20/19,0.0,0.0,0.0,3.57,11.35,0.0,0.0,0.0,0.044122819,0.006050058,0.045677044,0.006050058,0.012379447,7.3e-05,0.304723602034446,23.322077805278106,2.673335928991513
95,8/7/16,0.0,0.0,0.0,2.69,4.11,0.0,0.0,0.0,0.004109325,2.52e-07,0.003461057,2.52e-07,0.00287848,1.27e-07,0.324216318668694,19.56290153873477,2.6527554731413447
96,4/18/16,0.026,0.053,0.003,6.99,8.95,158.0,127.0,51.0,8.25196648,0.007164851,12.0080013,0.007164851,20.9307289,0.015114248,0.1172827151398768,17.629109323535037,3.3617190943115185
97,12/11/15,0.0,0.0,0.0,1.38,1.6,0.0,0.0,0.0,0.0,0.022631139,0.0,0.022631139,0.0,0.011513382,0.2284928049054834,10.906319793419032,2.844656917155781
98,2/11/16,0.0,0.0,0.0,1.16,1.46,0.0,0.0,0.0,0.0,4.59e-06,0.0,4.59e-06,0.0,6.97e-06,0.3341711144599072,16.913444643624793,2.878380431406564
99,5/7/20,0.0,0.0,0.0,1.19,2.24,0.0,0.0,0.0,0.0,0.00460837,0.0,0.00460837,0.0,0.0002085,0.2188964230522979,13.418235933134532,3.034772436924144
100,2/15/20,0.0,0.001,0.0,1.11,1.48,26.0,0.0,1.0,0.0,2.17e-22,0.008196273,2.17e-22,0.021095714,1.16e-22,0.2707801133968099,12.806422574075482,2.9522568040075745
101,3/16/16,0.0,0.0,0.0,0.98,1.44,0.0,0.0,0.0,0.0,0.010158867,0.003045723,0.010158867,0.0,0.000233017,0.2121949024256922,18.4886739616746,3.571725408370922
102,8/7/15,0.02,0.024,0.044,2.62,2.53,153.0,68.0,68.0,9.90931702,4.92e-05,11.1503496,4.92e-05,7.94579649,0.00015386,0.204887273371877,23.540886927878795,3.209539642182786
103,3/2/19,0.0,0.0,0.0,1.29,3.76,0.0,0.0,0.0,0.0,0.025185943,0.0,0.025185943,0.0,0.026164949,0.2532782565564034,19.91852703471161,2.9264528112572976
104,7/8/16,0.0,0.0,0.0,3.66,8.53,0.0,0.0,0.0,0.005117436,0.000380434,0.002639189,0.000380434,0.101452105,1.93e-05,0.2294119880234165,17.815491558495072,4.093230072955311
105,7/21/15,0.0,0.0,0.0,1.02,1.55,0.0,0.0,0.0,0.0,0.305449963,0.0,0.305449963,0.0,0.283777714,0.2297010788127961,16.591348729924874,2.486372696366998
106,4/22/17,0.0,0.0,0.0,1.1,1.76,0.0,0.0,0.0,0.0,3.91e-06,0.0,3.91e-06,0.003926047,4.55e-05,0.2544197687187417,19.69317402395891,2.8505742953981668
107,10/22/16,0.0,0.0,0.0,1.2,2.0,0.0,0.0,0.0,0.0,7.79685974,0.0,7.79685974,0.007854443,0.726985931,0.2173946693619668,17.960276539726255,3.309740868903471
108,9/30/16,0.0,0.0,0.002,1.25,2.4,0.0,0.0,0.0,0.180794656,0.258886814,0.349094868,0.258886814,0.253320366,0.449109077,0.2854191197227639,19.11898055473144,2.2591802100983127
109,9/17/16,0.0,0.0,0.0,2.2,6.3,0.0,0.0,0.0,0.102579564,5.38e-14,0.027838303,5.38e-14,0.624096632,2.66e-07,0.1980178366953367,15.49505237709018,3.584651339014667
110,8/19/18,0.032,0.031,0.023,1.21,2.43,9.0,24.0,27.0,29.029932,0.000575208,24.1268139,0.000575208,29.7154903,0.001475634,0.1996946422250713,14.507331894787503,3.293875976259974
111,12/27/15,0.0,0.0,0.0,1.3,2.99,0.0,0.0,0.0,0.0,0.086125732,0.0,0.086125732,0.0,0.000479445,0.257204377541891,25.285255849829756,2.7895210350096167
112,4/15/17,0.001,0.003,0.0,1.15,1.78,0.0,0.0,0.0,0.006800805,0.050613284,0.01706554,0.050613284,0.009005684,0.02406612,0.2808990213669637,12.579807610625831,2.984378673421012
113,2/23/17,0.001,0.0,0.001,1.5,3.12,0.0,0.0,0.0,0.002282596,0.0005882,0.710704923,0.0005882,0.100511312,0.000751019,0.2844742041877836,15.644964237122656,4.128745477477049
114,2/1/16,0.0,0.0,0.0,1.06,1.65,0.0,0.0,0.0,0.0,0.128692389,0.0,0.128692389,0.0,0.070112944,0.1862965733986652,18.89730886606744,2.515742852332405
115,10/26/19,0.0,0.0,0.0,1.52,3.47,0.0,0.0,0.0,0.0,0.035820901,0.001457471,0.035820901,0.0,0.029021502,0.1629700467868841,17.175855064153865,3.092124489079908
116,10/14/15,0.004,0.009,0.0,1.49,3.43,0.0,0.0,0.0,0.0,5.3e-11,0.044890873,5.3e-11,0.92216748,1.92e-21,0.2519852528162119,20.163393093420293,3.101621521834756
117,7/19/15,0.001,0.004,0.0,0.85,1.36,0.0,0.0,0.0,0.009892158,0.513267517,0.0,0.513267517,0.0,0.750589371,0.2130848868284209,20.17921538041836,3.1652239132736493
118,9/13/18,0.0,0.0,0.0,1.27,2.6,0.0,0.0,0.0,0.501750708,0.113242865,0.901618302,0.113242865,0.154719383,0.127995014,0.262030333848087,14.54535086713648,3.0974334238065344
119,3/7/17,0.0,0.0,0.0,1.31,2.09,0.0,0.0,0.0,0.0,0.005074404,0.0,0.005074404,0.0,0.007272139,0.326224003037033,14.506640612375088,2.9893592958790505
120,1/21/19,0.0,0.0,0.0,2.5625,7.255,0.0,0.0,0.0,0.0,0.20223856,0.0,0.20223856,0.0,0.069576502,0.2574369508446873,21.010042043508776,3.796306639268579
121,11/23/16,0.0,0.0,0.0,1.31,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1990035148807823,21.83577828743088,3.282836094653089
122,11/3/16,0.0,0.0,0.0,1.57,2.37,0.0,0.0,0.0,0.0,0.057399273,0.0,0.057399273,0.0,0.040259957,0.2808567388467561,19.5377602277139,2.298412824597124
123,5/9/20,0.0,0.0,0.0,1.17,2.02,0.0,0.0,0.0,0.0,1.37e-07,0.0,1.37e-07,0.0,2.16e-06,0.2437567256585192,13.689335797544942,3.5781388935204235
124,10/2/17,0.002,0.001,0.002,1.36,3.6,11.0,20.0,22.0,0.385451376,1.08e-09,0.489131778,1.08e-09,0.798763871,7.82e-09,0.3190237394618324,14.294807028804172,2.9432561340489656
125,12/21/18,0.003,0.003,0.002,2.29,6.785,3.0,5.0,9.0,1.10170639,0.075611472,2.19120622,0.075611472,10.1920719,0.01867488,0.3178248492168378,12.364935148024738,3.6006469669697383
126,4/1/18,0.001,0.001,0.0,1.03,1.26,0.0,0.0,0.0,0.006398048,0.039428473,0.008755159,0.039428473,0.216575027,0.029946864,0.2728250994624203,18.570377317086116,1.6178978602496985
127,4/1/16,0.0,0.0,0.001,0.91,1.56,0.0,0.0,0.0,1.55431867,19.7135925,0.460734129,19.7135925,0.016219169,13.3586884,0.2322088420156319,11.88308510001109,2.8145970732913783
128,7/28/17,0.0,0.0,0.0,1.52,2.87,0.0,0.0,0.0,0.085208438,2.21e-10,0.092537783,2.21e-10,0.117365144,1.65e-11,0.2912340298137312,14.566339212351696,4.052006042162861
129,11/20/18,0.0,0.0,0.0,1.16,2.96,0.0,0.0,0.0,0.0,4.24e-14,0.0,4.24e-14,0.0,1.74e-14,0.2696524197589264,18.420134503190106,3.1144986566219663
130,1/17/19,0.008,0.01,0.001,5.18,6.93,0.0,0.0,0.0,1.57009506,0.302016735,1.73729479,0.302016735,2.00109458,0.143605471,0.3782085189083394,15.695419142668696,2.969175308601797
131,5/3/16,0.001,0.001,0.0,1.43,4.14,0.0,0.0,0.0,0.140431702,0.001506647,0.136693135,0.001506647,0.535849631,0.000821217,0.1656820648014362,15.62746617055782,2.781616844477246
132,6/2/20,0.0,0.0,0.0,1.27,2.19,0.0,0.0,0.0,0.002886718,5.84e-07,0.0,5.84e-07,0.0,2.2e-05,0.3803406044428563,19.107096629089703,2.2307312818416447
133,8/23/18,0.0,0.0,0.0,1.48,4.4,0.0,0.0,0.0,0.0,0.000883033,0.0,0.000883033,0.001324773,0.001471443,0.2280943146927492,19.69407901415921,2.524893047526911
134,8/27/16,0.028,0.026,0.054,1.27,2.24,0.0,0.0,0.0,11.0578766,8.08e-08,16.3342304,8.08e-08,24.3396912,2.13e-11,0.2712082056822871,11.045865161448631,3.398499383727929
135,2/21/19,0.0,0.0,0.0,1.18,2.15,0.0,0.0,0.0,0.0,0.000295357,0.0,0.000295357,0.0,0.001150835,0.302839059494207,11.8412766640162,2.895351357563984
